PASS tests
PASS lint runs/ciph-v0.10-vendor-layout/MANIFEST.json
PASS verify runs/ciph-v0.10-vendor-layout/MANIFEST.json
PASS closeout runs/ciph-v0.10-vendor-layout/MANIFEST.json
PASS lint runs/ciph-v0.11-html-artifacts/MANIFEST.json
PASS verify runs/ciph-v0.11-html-artifacts/MANIFEST.json
PASS closeout runs/ciph-v0.11-html-artifacts/MANIFEST.json
PASS lint runs/ciph-v0.12-policy-trace/MANIFEST.json
PASS verify runs/ciph-v0.12-policy-trace/MANIFEST.json
PASS closeout runs/ciph-v0.12-policy-trace/MANIFEST.json
PASS lint runs/ciph-v0.13-mechanism-metrics/MANIFEST.json
PASS verify runs/ciph-v0.13-mechanism-metrics/MANIFEST.json
PASS closeout runs/ciph-v0.13-mechanism-metrics/MANIFEST.json
PASS lint runs/ciph-v0.14-candidate-lab/MANIFEST.json
PASS verify runs/ciph-v0.14-candidate-lab/MANIFEST.json
PASS closeout runs/ciph-v0.14-candidate-lab/MANIFEST.json
PASS lint runs/ciph-v0.15-evaluation-protocol/MANIFEST.json
PASS verify runs/ciph-v0.15-evaluation-protocol/MANIFEST.json
PASS closeout runs/ciph-v0.15-evaluation-protocol/MANIFEST.json
PASS lint runs/ciph-v0.16-holdout-release-gate/MANIFEST.json
PASS verify runs/ciph-v0.16-holdout-release-gate/MANIFEST.json
PASS closeout runs/ciph-v0.16-holdout-release-gate/MANIFEST.json
PASS lint runs/ciph-v0.17-holdout-final-comparison/MANIFEST.json
PASS verify runs/ciph-v0.17-holdout-final-comparison/MANIFEST.json
PASS closeout runs/ciph-v0.17-holdout-final-comparison/MANIFEST.json
PASS lint runs/ciph-v0.18-score-provenance/MANIFEST.json
PASS verify runs/ciph-v0.18-score-provenance/MANIFEST.json
PASS closeout runs/ciph-v0.18-score-provenance/MANIFEST.json
PASS lint runs/ciph-v0.19-score-integrity/MANIFEST.json
PASS verify runs/ciph-v0.19-score-integrity/MANIFEST.json
PASS closeout runs/ciph-v0.19-score-integrity/MANIFEST.json
PASS lint runs/ciph-v0.2-init-run/MANIFEST.json
PASS verify runs/ciph-v0.2-init-run/MANIFEST.json
PASS closeout runs/ciph-v0.2-init-run/MANIFEST.json
PASS lint runs/ciph-v0.20-evaluator-replay-readiness/MANIFEST.json
PASS verify runs/ciph-v0.20-evaluator-replay-readiness/MANIFEST.json
PASS closeout runs/ciph-v0.20-evaluator-replay-readiness/MANIFEST.json
PASS lint runs/ciph-v0.21-local-replay-executor/MANIFEST.json
PASS verify runs/ciph-v0.21-local-replay-executor/MANIFEST.json
PASS closeout runs/ciph-v0.21-local-replay-executor/MANIFEST.json
PASS lint runs/ciph-v0.22-replay-result-attestation/MANIFEST.json
PASS verify runs/ciph-v0.22-replay-result-attestation/MANIFEST.json
PASS closeout runs/ciph-v0.22-replay-result-attestation/MANIFEST.json
PASS lint runs/ciph-v0.23-experience-store-cli/MANIFEST.json
PASS verify runs/ciph-v0.23-experience-store-cli/MANIFEST.json
PASS closeout runs/ciph-v0.23-experience-store-cli/MANIFEST.json
PASS lint runs/ciph-v0.3-run-checks/MANIFEST.json
PASS verify runs/ciph-v0.3-run-checks/MANIFEST.json
PASS closeout runs/ciph-v0.3-run-checks/MANIFEST.json
PASS lint runs/ciph-v0.4-manifest-lint/MANIFEST.json
PASS verify runs/ciph-v0.4-manifest-lint/MANIFEST.json
PASS closeout runs/ciph-v0.4-manifest-lint/MANIFEST.json
PASS lint runs/ciph-v0.5-usability-reports/MANIFEST.json
PASS verify runs/ciph-v0.5-usability-reports/MANIFEST.json
PASS closeout runs/ciph-v0.5-usability-reports/MANIFEST.json
PASS lint runs/ciph-v0.6-child-tasks/MANIFEST.json
PASS verify runs/ciph-v0.6-child-tasks/MANIFEST.json
PASS closeout runs/ciph-v0.6-child-tasks/MANIFEST.json
PASS lint runs/ciph-v0.7-candidates/MANIFEST.json
PASS verify runs/ciph-v0.7-candidates/MANIFEST.json
PASS closeout runs/ciph-v0.7-candidates/MANIFEST.json
PASS lint runs/ciph-v0.8-repo-gate/MANIFEST.json
PASS verify runs/ciph-v0.8-repo-gate/MANIFEST.json
PASS closeout runs/ciph-v0.8-repo-gate/MANIFEST.json
PASS lint runs/ciph-v0.9-codex-skill/MANIFEST.json
PASS verify runs/ciph-v0.9-codex-skill/MANIFEST.json
PASS closeout runs/ciph-v0.9-codex-skill/MANIFEST.json
PASS lint runs/example-harness-design/MANIFEST.json
PASS verify runs/example-harness-design/MANIFEST.json
PASS closeout runs/example-harness-design/MANIFEST.json
PASS git diff --check
CIPH repo gate passed
